Date,AAPL,AMGN,AXP,BA,CAT,CSCO,CVX,DIS,GS,HD,HON,IBM,INTC,JNJ,JPM,KO,MCD,MRK,MMM,MSFT,NKE,PG,TRV,UNH,VZ,WBA,WMT
2000-01-03,0.9765899348096818,63.80031431595168,45.76547741443494,39.873146984993625,25.288971340533053,55.261002918348126,41.361825303869566,29.292563569855613,91.65098851013495,64.24369921290261,52.27631385491512,106.42341932867991,42.4486308513729,46.06047864236805,51.1806299482213,28.31400508292653,39.987556715218346,66.42040722402615,46.37739856266667,57.88309197942138,6.129071793357242,53.69124056648127,32.9508555134462,6.722719807486983,52.95062784530382,28.460295527803332,66.10378396408434
2000-01-04,0.9585131235749763,62.79779004567844,45.85661544179645,41.56905274516186,26.08658646512501,54.42815170428139,40.32497665742282,29.270958267958427,91.71859884270667,65.24195123616049,52.141140870774,106.79990603042044,42.06160970555142,45.74213255312637,50.06713994609047,28.70929288505825,40.502549097467416,66.41440372481023,46.635483800598415,57.13600956993661,6.120698412570654,54.610659193565304,32.006079540755756,6.682500204742951,53.11416178218286,29.21615828288039,64.80707920622561
2000-01-05,0.9688473586670253,62.91006479592931,46.51152774883109,41.1567356236433,26.798523793491604,54.979315719752826,39.73203999368282,29.323138965126375,92.0376102479565,67.99914058406709,50.79099178557971,107.83853046946095,42.392563588753475,45.59484475973039,50.45612013271635,29.061171427643448,41.676901215413444,66.55861558616958,47.01023380324705,58.57461402739143,6.243370654402082,54.42044242878633,31.676525331559713,6.386057663700895,53.57794188716274,28.571613295340605,64.47570725492125
2000-01-06,0.949623524006303,61.60193085145248,46.48664584430574,41.43808639379106,26.365982558174036,53.36027485181465,40.402807321251984,29.647053458991802,91.53173313789095,69.41822386739396,52.18035421427534,105.19497971719782,42.295246821949746,45.203144840831975,48.515906266514385,29.416858229535833,42.14782233374282,68.25008245564054,45.41253655999434,58.82519093561638,6.168997537140126,53.8772263111327,32.15218517757771,6.469023232582639,55.033169837420225,27.52279503690686,64.9691488876824
2000-01-07,0.9517699413444868,61.158626609295254,46.29769455000656,40.6916013877136,26.472338692148433,53.11398729784152,39.459072943225365,29.940590115611606,90.2977455631635,66.41476437593991,53.378547465346145,103.79566095241533,42.098713752366756,45.77934122349908,48.563301006840234,29.362686601739778,41.61822262546849,68.21322475402297,46.11453539714288,58.69903432248518,6.164847681129619,53.49649372276718,32.38131883250674,6.493945671978868,54.682898115953826,27.799909934574526,64.60685622347877
2000-01-10,0.9237891603120693,58.35963496889244,46.84303591340986,40.839785783055696,26.00879274489663,51.80199349165339,39.04263264452447,29.82221271856872,89.83974553513778,65.67031212999389,53.4080185139891,104.05888724999723,42.50382336645948,46.68640373267486,48.72670756521877,28.67819142712434,40.96758326252808,68.50797897044883,44.782239501284195,58.35451673884378,6.199045305144897,52.82817948633177,33.05431073650669,6.449737822284784,54.88317069301899,28.35584476951928,63.166379818502115
2000-01-11,0.9115113201630964,58.40599900849669,47.05112780389846,39.92227001927204,26.194556876387114,53.43235413359095,39.572471397457306,28.974936087063814,88.95751501860013,66.8377540959369,53.75698028202916,104.1229725630377,43.03386179797492,47.45026956281574,49.397857768343115,29.25947113122401,40.97091214113701,69.0385838847412,43.833066278956764,58.94216599733173,6.091915714017388,53.978529290374794,33.02099369408625,6.4380717424476686,55.61436715676384,28.577984834211353,63.01338583460386
2000-01-12,0.9459324984334527,58.52064876577671,47.3112722607939,39.412067040153985,27.108390968604933,54.012079520473776,38.968756462527956,29.51839609300157,87.44470932167489,66.83043579645903,53.14290472113841,101.41797532694764,42.854612360700635,49.19523607085704,48.20468410285176,29.760446977073087,41.44986111842233,71.7054238432967,44.043763262928614,58.36969877974885,6.02704315410934,54.07607440337422,33.0130500851155,6.3022319434883345,55.095028705865914,29.00107735762672,64.6158128032338
2000-01-13,0.9272682729877034,58.178179453675405,48.153475481046456,38.628114933771194,27.275428333535803,54.72139576865595,39.20072088680298,29.6633224323849,87.76538940502942,66.27390878221793,53.313797867821314,99.61761631254596,43.89646903705419,48.52791848388418,49.14428036966229,29.717438361230332,40.69209001586557,73.24669095326018,44.20850956470634,59.190879568272194,5.902099596857457,53.959629716909326,33.3386479526413,6.48837837304937,54.67960135388329,29.256369256932057,63.82161075627892
2000-01-14,0.8948612376078355,58.074402749065136,47.74764903839201,38.1529391655449,27.193746790101564,52.93599456318334,39.31685628771683,29.507842952673734,86.45877162475183,66.71063291071276,53.79622678089101,99.32393747205424,43.97022663358344,48.416342323209356,49.77532001662082,29.7663589432006,41.69650600830064,73.85505575846611,45.33004935236774,57.90392782013477,5.943589422240141,52.86085213065225,33.80162926247762,6.441995746880059,54.71576427346643,29.190277870091123,63.885109970313536
2000-01-18,0.8754265384817148,58.60978880205275,47.88100556537855,36.156155540934016,26.491376896101556,51.528921098824334,37.65650063039269,29.446321986403742,88.7611887351396,67.37297195603006,53.57303543823665,102.35397166152458,44.234690615223705,48.592938426556536,48.179772475474905,29.96323985794897,42.34237375487841,74.9271045803925,46.87626235111408,57.899883795790124,5.978283516486224,52.89711168490485,34.512961246064535,6.487493364308723,56.305389033196136,28.94534604959022,64.62963299267568
2000-01-19,0.8799447527003601,57.99347867687629,50.47906478391428,35.98320690035278,26.596202950923804,51.07853700856334,38.48711412293268,30.155656511349722,87.87736340231676,66.33011481585409,54.48043000776906,99.27402343662897,44.817649223332474,48.276893439793085,47.51427034677078,29.884484465039982,41.35429134134939,74.46717813550737,46.28107903952308,57.93888344637372,6.156501300387991,52.72440783309889,34.471120121438524,6.398872042604441,56.54263203537864,29.06056134003057,63.70645478488467
